기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_계,기타,합계
2022-03-01,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-02,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-03,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-04,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-05,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-06,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-07,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-08,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-09,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-10,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-11,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-12,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-13,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-14,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-15,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-16,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-17,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-18,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-19,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-20,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-21,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-22,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
