top_word,count,label,negative,positive,neutral
가격,2,neutral,0.03,0.05,99.92
가격,2,neutral,2.5,2.87,94.64
가격,2,neutral,0.18,0.09,99.73
가격,2,neutral,0.02,0.03,99.94
마진,2,neutral,0.03,0.05,99.92
민관공,1,neutral,0.15,0.35,99.5
,,,,,
,,,,,
,,,,,
예산,2,neutral,0.06,0.05,99.89
이사장,1,neutral,0.16,0.02,99.82
경북,1,neutral,0.04,0.25,99.71
투어,3,neutral,0.03,0.14,99.84
주도,2,neutral,0.12,0.05,99.83
대화,1,neutral,0.3,0.07,99.63
추가,2,neutral,0.07,0.1,99.83
뒷받침,1,neutral,0.43,48.62,50.95
투입,2,neutral,0.09,2.07,97.83
만발,1,neutral,0.03,0.26,99.71
촉구,1,neutral,0.35,0.1,99.55
효과,2,neutral,0.32,2.34,97.34
,,,,,
,,,,,
업그레이드,1,neutral,0.04,2.06,97.9
판교,2,neutral,0.02,0.02,99.96
비조,1,neutral,0.19,0.12,99.7
연구,1,neutral,0.04,0.03,99.93
경쟁,2,neutral,0.15,0.21,99.64
대한민국,2,neutral,0.03,0.05,99.92
대한민국,2,neutral,0.03,0.02,99.95
공장,1,neutral,0.08,0.02,99.9
,,,,,
나라,2,neutral,0.05,0.04,99.91
원자로,1,neutral,0.22,0.45,99.33
더힐,1,neutral,0.04,0.07,99.89
기름값,3,neutral,0.1,0.04,99.86
무상,1,neutral,0.29,17.86,81.85
,,,,,
,,,,,
대창,1,neutral,0.04,0.24,99.72
돌파,1,neutral,0.05,0.54,99.41
폐막,1,neutral,0.03,0.02,99.95
발짝,1,neutral,0.06,0.3,99.63
돌부처,1,neutral,0.06,1.61,98.33
국선,1,neutral,0.35,2.03,97.62
차원,1,neutral,0.24,0.25,99.51
성공예감,1,neutral,0.01,0.01,99.98
서민,1,neutral,0.38,17.45,82.18
해답,1,neutral,0.1,0.03,99.88
,,,,,
골퍼,1,neutral,0.15,4.83,95.02
복판,1,neutral,0.09,0.62,99.3
금지,1,neutral,0.1,0.04,99.86
앙코르왓,1,neutral,0.07,0.07,99.86
,,,,,
단계,2,neutral,0.08,0.14,99.78
자락,1,neutral,0.29,0.04,99.67
장기,1,neutral,0.04,0.77,99.19
,,,,,
,,,,,
메모리,1,neutral,0.04,0.07,99.89
기보,1,neutral,0.03,0.04,99.93
세미나,3,neutral,0.04,0.02,99.94
,,,,,
구성,1,neutral,0.04,0.21,99.75
,,,,,
실천,1,neutral,0.06,1.81,98.13
사전,1,neutral,0.09,0.04,99.87
,,,,,
소로,1,neutral,0.06,0.13,99.81
카드,1,neutral,0.18,0.02,99.8
확장,1,neutral,0.04,0.51,99.45
,,,,,
완공,1,neutral,0.04,0.17,99.79
청사진,1,neutral,0.04,0.03,99.93
,,,,,
봄철,1,neutral,0.45,4.14,95.41
,,,,,
검증,1,neutral,0.08,0.14,99.78
풀이,1,neutral,0,0,100
산둥성,2,neutral,0.04,0.34,99.62
농업,1,neutral,0.05,0.27,99.68
아야,1,neutral,0.09,0.1,99.81
케네디,1,neutral,0.06,0.04,99.89
롱안,1,neutral,0.06,0.48,99.46
다이버,1,neutral,0.04,0.2,99.76
항해,1,neutral,0.04,0.08,99.88
스토리텔링,1,neutral,0.02,0.03,99.95
,,,,,
,,,,,
스포,1,neutral,0.05,0.04,99.91
충북,1,neutral,0.03,0.36,99.61
작년,1,neutral,0.04,0.06,99.9
라이드,1,neutral,0.06,0.09,99.85
,,,,,
,,,,,
누리집,1,neutral,0.02,0.02,99.96
울릉도,1,neutral,0.04,0.03,99.93
돌파구,1,neutral,0.07,0.03,99.9
기후변화,1,neutral,0.02,0.02,99.96
아세안,1,neutral,0.06,0.07,99.88
원탁,1,neutral,0.04,0.03,99.92
