top_word,count,label,confidence
행사,2,positive,"{'negative': 0.013266675, 'positive': 99.81843, 'neutral': 0.16830422}"
과일,1,neutral,"{'negative': 0.1306961, 'positive': 2.8136852, 'neutral': 97.05562}"
대신,2,neutral,"{'negative': 0.054915562, 'positive': 0.13024342, 'neutral': 99.81484}"
보금자리,1,neutral,"{'negative': 0.015113457, 'positive': 0.113584206, 'neutral': 99.8713}"
순환,1,positive,"{'negative': 0.034907565, 'positive': 94.58647, 'neutral': 5.378622}"
가치,3,positive,"{'negative': 0.023662236, 'positive': 99.93443, 'neutral': 0.041906793}"
프로젝트,1,neutral,"{'negative': 0.02402595, 'positive': 0.039964695, 'neutral': 99.93601}"
커플,1,neutral,"{'negative': 0.3003186, 'positive': 0.051810514, 'neutral': 99.64787}"
건강,2,positive,"{'negative': 0.0052714953, 'positive': 99.978195, 'neutral': 0.016533848}"
생각,1,neutral,"{'negative': 0.051525347, 'positive': 0.05479668, 'neutral': 99.89368}"
금천구,1,positive,"{'negative': 0.031060778, 'positive': 99.9499, 'neutral': 0.019042227}"
레이더,5,neutral,"{'negative': 0.05821058, 'positive': 0.220953, 'neutral': 99.72083}"
대진표,1,neutral,"{'negative': 0.06692584, 'positive': 0.06724231, 'neutral': 99.86583}"
나은,2,neutral,"{'negative': 0.1293578, 'positive': 9.256658, 'neutral': 90.61398}"
단신,1,neutral,"{'negative': 0.038172033, 'positive': 0.03539588, 'neutral': 99.92643}"
여성,2,negative,"{'negative': 99.967995, 'positive': 0.008474956, 'neutral': 0.023528403}"
최선,1,neutral,"{'negative': 0.1473239, 'positive': 38.21276, 'neutral': 61.639915}"
총리,2,neutral,"{'negative': 0.11773899, 'positive': 4.639507, 'neutral': 95.24275}"
건의,1,neutral,"{'negative': 0.09799673, 'positive': 0.06184834, 'neutral': 99.84016}"
발표,3,neutral,"{'negative': 0.05216355, 'positive': 0.13983874, 'neutral': 99.808}"
뿌리,1,negative,"{'negative': 81.5481, 'positive': 0.10260426, 'neutral': 18.34929}"
소멸,3,negative,"{'negative': 99.972206, 'positive': 0.010862385, 'neutral': 0.016928686}"
주목,1,neutral,"{'negative': 0.14525054, 'positive': 2.0913281, 'neutral': 97.76342}"
빛과,1,positive,"{'negative': 0.011714362, 'positive': 99.98209, 'neutral': 0.006191796}"
달성,3,neutral,"{'negative': 0.088665, 'positive': 0.440581, 'neutral': 99.47076}"
시나리오,2,neutral,"{'negative': 0.07334536, 'positive': 0.044399157, 'neutral': 99.882256}"
본부장,1,neutral,"{'negative': 0.052865688, 'positive': 0.029372362, 'neutral': 99.91776}"
인터뷰,5,neutral,"{'negative': 0.16625038, 'positive': 0.017183512, 'neutral': 99.81657}"
채용,1,neutral,"{'negative': 0.07803917, 'positive': 4.2086067, 'neutral': 95.713356}"
하이난성,3,neutral,"{'negative': 0.103040785, 'positive': 2.6950765, 'neutral': 97.20188}"
하이난성,3,neutral,"{'negative': 0.045878187, 'positive': 0.026688233, 'neutral': 99.92744}"
발족,1,neutral,"{'negative': 0.08246294, 'positive': 0.019589681, 'neutral': 99.89795}"
동남아시아,1,neutral,"{'negative': 0.056265656, 'positive': 0.082364455, 'neutral': 99.86137}"
활발,2,positive,"{'negative': 0.021734325, 'positive': 99.859215, 'neutral': 0.11905408}"
예비,2,positive,"{'negative': 0.012362656, 'positive': 85.68653, 'neutral': 14.301109}"
예비,2,neutral,"{'negative': 0.21459681, 'positive': 2.4856184, 'neutral': 97.29978}"
도민,3,neutral,"{'negative': 0.32461482, 'positive': 14.429741, 'neutral': 85.24564}"
이상순,1,negative,"{'negative': 99.96806, 'positive': 0.004925263, 'neutral': 0.027010718}"
직접,4,neutral,"{'negative': 0.06275719, 'positive': 0.060750116, 'neutral': 99.876495}"
항로,1,negative,"{'negative': 50.04245, 'positive': 48.700848, 'neutral': 1.2567014}"
경남,1,neutral,"{'negative': 0.037967943, 'positive': 1.0208483, 'neutral': 98.941185}"
