일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2022-05-05,1642.8,2535.04,675.432,391.32,0,5244.592
2022-05-06,2573.6,2226.56,948.672,529.84,0,6278.672
2022-05-07,2932,1995.36,933.048,526.68,0,6387.088
2022-05-08,587,2289.056,321.12,220.84,0,3418.016
2022-05-09,2609,2190.656,739.224,405.6,0,5944.48
2022-05-10,821.2,1498.656,299.304,197.04,0,2816.2
2022-05-11,466,701.6,64.296,66.6,0,1298.496
2022-05-12,773.4,1236.608,156.528,123.48,0,2290.016
2022-05-13,347.8,299.168,89.208,72.68,0,808.856
2022-05-14,2865.4,2517.472,309.528,546,0,6238.4
2022-05-15,2500.2,2087.04,496.584,424.76,0,5508.584
2022-05-16,2779,2082.048,814.248,502.76,0,6178.056
2022-05-17,2466.6,2450.432,886.968,544.4,0,6348.4
2022-05-18,2968,2504.384,911.016,524.92,0,6908.32
2022-05-19,1857.2,1541.568,523.728,321.12,0,4243.616
2022-05-20,1684.2,1318.592,483.624,291.64,0,3778.056
2022-05-21,3139.4,2544.832,551.232,555.48,0,6790.944
2022-05-22,3114.4,2293.472,450,576.8,0,6434.672
2022-05-23,2489.2,2090.336,744.12,453.16,0,5776.816
2022-05-24,2865.8,2465.408,855.72,507.04,0,6693.968
2022-05-25,2827.6,2429.28,859.464,512.24,0,6628.584
2022-05-26,1915,1796.224,606.456,364.96,0,4682.64
2022-05-27,3145.2,2638.912,949.032,570.16,0,7303.304
2022-05-28,2299.6,1874.592,660.816,394.56,0,5229.568
2022-05-29,1054.6,1260.544,356.76,234.4,0,2906.304
2022-05-30,1638.8,1335.36,335.808,214.64,0,3524.608
2022-05-31,2837,2491.168,886.896,536.76,0,6751.824
2022-06-01,2612.6,2050.848,535.752,461.96,0,5661.16
2022-06-02,2280.4,2396.288,832.464,499.68,0,6008.832
2022-06-03,2966.6,2526.08,861.264,504.68,0,6858.624
2022-06-04,1373,2026.784,467.928,295.2,0,4162.912
2022-06-05,365.8,469.344,28.944,49.96,0,914.048
2022-06-06,2440,1906.496,845.28,505.6,0,5697.376
2022-06-07,390.8,1400.576,91.08,89.76,0,1972.216
2022-06-08,1205,2606.752,772.056,460.4,0,5044.208
2022-06-09,2504.2,2565.44,876.24,505.4,0,6451.28
2022-06-10,944.2,1348.512,273.096,191.56,0,2757.368
2022-06-11,1340.4,1763.904,644.832,394.4,0,4143.536
2022-06-12,1935.2,2040.864,582.48,357.4,0,4915.944
2022-06-13,373.4,601.6,92.16,90.08,0,1157.24
2022-06-14,429,468.352,124.2,104.24,0,1125.792
2022-06-15,2172.2,2118.24,797.616,464.32,0,5552.376
2022-06-16,2487.2,2077.856,765.792,460.24,0,5791.088
2022-06-17,2287.4,2176.768,544.392,331.52,0,5340.08
2022-06-18,2341.8,2486.72,803.376,475.4,0,6107.296
2022-06-19,1990.8,2292.608,721.656,428.24,0,5433.304
2022-06-20,1126,1400.416,362.232,228.68,0,3117.328
2022-06-21,1528.4,1756.672,757.152,450.92,0,4493.144
2022-06-22,2928,2549.984,573.984,339.24,0,6391.208
2022-06-23,1970,2430.72,618.552,370.12,0,5389.392
2022-06-24,1299.8,1087.296,296.496,180.96,0,2864.552
2022-06-25,2468.4,2174.24,711.648,420.2,0,5774.488
2022-06-26,19,2022.464,643.032,386.36,0,3070.856
2022-06-27,208.4,1574.304,313.632,202.16,0,2298.496
2022-06-28,567.4,1715.776,420.912,245.76,0,2949.848
2022-06-29,1204.4,2442.976,727.704,428.16,0,4803.24
2022-06-30,2192.6,2529.472,881.64,527.44,0,6131.152
2022-07-01,3068.6,2509.152,871.992,517.8,0,6967.544
2022-07-02,2844.8,2369.856,808.416,482.24,0,6505.312
2022-07-03,1470.2,2057.664,620.928,365.68,0,4514.472
2022-07-04,889.2,2217.216,616.968,360.68,0,4084.064
2022-07-05,1329,1873.568,550.368,324.68,0,4077.616
2022-07-06,2520.2,2289.184,782.424,460.92,0,6052.728
2022-07-07,2115.2,2500.544,761.472,447.16,0,5824.376
2022-07-08,1271.6,1759.52,394.272,242.52,0,3667.912
2022-07-09,3009.6,2495.072,881.352,519.68,0,6905.704
2022-07-10,2616.8,1845.6,657,374.8,0,5494.2
2022-07-11,879.2,1011.936,364.752,217.8,0,2473.688
2022-07-12,926,2027.84,446.76,267.04,0,3667.64
2022-07-13,1382.2,1568.832,411.336,250.84,0,3613.208
2022-07-14,896,1287.84,293.328,175.88,0,2653.048
2022-07-15,765.4,676.672,239.184,152.04,0,1833.296
2022-07-16,2178,2005.952,583.92,340.52,0,5108.392
2022-07-17,1245.6,1114.912,324.216,191.56,0,2876.288
2022-07-18,671.4,1056.928,178.92,122.84,0,2030.088
2022-07-19,3032.8,2298.88,886.248,513.56,0,6731.488
2022-07-20,1897.2,2034.528,687.528,388.6,0,5007.856
2022-07-21,1864.2,1527.168,613.296,360.76,0,4365.424
2022-07-22,2903,2281.28,894.672,512.2,0,6591.152
2022-07-23,1956.2,1989.088,519.624,297.8,0,4762.712
2022-07-24,2580.8,1887.552,800.064,457.92,0,5726.336
2022-07-25,2472.2,2115.488,894.456,515.56,0,5997.704
2022-07-26,2259.2,2504.608,878.904,494.88,0,6137.592
2022-07-27,938.4,2387.04,430.344,253.12,0,4008.904
2022-07-28,1903.8,2283.296,630.72,343.36,0,5161.176
2022-07-29,1705.8,2325.856,840.672,424.44,0,5296.768
2022-07-30,186,296.576,44.208,40.68,0,567.464
2022-07-31,305.8,519.872,106.272,76.52,0,1008.464
2022-08-01,1287.2,1376.576,324.288,169.4,0,3157.464
2022-08-02,1790.8,1989.152,593.28,295.48,0,4668.712
2022-08-03,2343,2016.896,668.304,328.2,0,5356.4
2022-08-04,1616.2,2365.408,870.192,425.92,0,5277.72
2022-08-05,2210.2,2429.376,748.656,376.92,0,5765.152
2022-08-06,1873.8,2231.808,839.376,415.4,0,5360.384
2022-08-07,2675.4,2292.992,616.896,302.76,0,5888.048
2022-08-08,2440.6,2345.12,889.992,440.4,0,6116.112
2022-08-09,2594.4,2116.576,815.688,398.2,0,5924.864
2022-08-10,2513.6,1888.832,761.76,356.68,0,5520.872
2022-08-11,1643,1654.336,477.216,229.04,0,4003.592
2022-08-12,1638,1362.08,483.336,205.84,0,3689.256
2022-08-13,2286.4,2132.672,880.2,361.04,0,5660.312
2022-08-14,2135.8,2229.536,887.328,359.24,0,5611.904
2022-08-15,2733,2289.728,949.032,394.92,0,6366.68
2022-08-16,1978.8,1708.32,514.8,227.16,0,4429.08
2022-08-17,202.6,229.28,33.696,29.72,0,495.296
2022-08-18,2352,2332.192,917.928,409.52,0,6011.64
2022-08-19,2236.2,2366.72,994.392,422.2,0,6019.512
2022-08-20,849.2,564.128,233.856,128.84,0,1776.024
2022-08-21,2200.6,1896.64,812.736,356.96,0,5266.936
2022-08-22,1977.8,2242.56,1042.776,453.48,0,5716.616
2022-08-23,1976.6,1823.008,772.992,333.6,0,4906.2
2022-08-24,2266.2,1823.424,753.408,333.56,0,5176.592
2022-08-25,2695.4,2385.92,1045.224,448.96,0,6575.504
2022-08-26,1219.4,1075.328,463.608,225.48,0,2983.816
2022-08-27,2298.6,1871.904,800.856,326.72,0,5298.08
2022-08-28,1918,1944.384,907.92,401.08,0,5171.384
2022-08-29,1453,2018.304,833.904,357.28,0,4662.488
2022-08-30,1696.4,1776.416,757.512,340.24,0,4570.568
2022-08-31,1727.8,1254.464,628.848,287.12,0,3898.232
2022-09-01,627.2,543.296,218.592,123.84,0,1512.928
2022-09-02,147.8,237.312,37.512,33.28,0,455.904
2022-09-03,353.2,1304.704,196.56,110.4,0,1964.864
2022-09-04,361.2,588.288,358.056,179.48,0,1487.024
2022-09-05,125.2,276.96,46.872,33.52,0,482.552
2022-09-06,1723.8,1253.92,591.264,0,0,3568.984
2022-09-07,2887.2,2400.768,1013.688,0,0,6301.656
2022-09-08,2640.6,2338.624,1025.352,0,0,6004.576
2022-09-09,1391.6,1715.264,878.544,0,0,3985.408
2022-09-10,749,1312.288,347.616,0,0,2408.904
2022-09-11,476.8,1396.192,523.8,0,0,2396.792
2022-09-12,195.4,278.88,106.344,0,0,580.624
2022-09-13,83,90.24,32.616,0,0,205.856
